O*NET-SOC Code,Title,A: Arm-Hand Steadiness,A: Auditory Attention,A: Category Flexibility,A: Control Precision,A: Deductive Reasoning,A: Depth Perception,A: Dynamic Flexibility,A: Dynamic Strength,A: Explosive Strength,A: Extent Flexibility,A: Far Vision,A: Finger Dexterity,A: Flexibility of Closure,A: Fluency of Ideas,A: Glare Sensitivity,A: Gross Body Coordination,A: Gross Body Equilibrium,A: Hearing Sensitivity,A: Inductive Reasoning,A: Information Ordering,A: Manual Dexterity,A: Mathematical Reasoning,A: Memorization,A: Multilimb Coordination,A: Near Vision,A: Night Vision,A: Number Facility,A: Oral Comprehension,A: Oral Expression,A: Originality,A: Perceptual Speed,A: Peripheral Vision,A: Problem Sensitivity,A: Rate Control,A: Reaction Time,A: Response Orientation,A: Selective Attention,A: Sound Localization,A: Spatial Orientation,A: Speech Clarity,A: Speech Recognition,A: Speed of Closure,A: Speed of Limb Movement,A: Stamina,A: Static Strength,A: Time Sharing,A: Trunk Strength,A: Visual Color Discrimination,A: Visualization,A: Wrist-Finger Speed,A: Written Comprehension,A: Written Expression,S: Active Learning,S: Active Listening,S: Complex Problem Solving,S: Coordination,S: Critical Thinking,S: Equipment Maintenance,S: Equipment Selection,S: Installation,S: Instructing,S: Judgment and Decision Making,S: Learning Strategies,S: Management of Financial Resources,S: Management of Material Resources,S: Management of Personnel Resources,S: Mathematics,S: Monitoring,S: Negotiation,S: Operation and Control,S: Operations Analysis,S: Operations Monitoring,S: Persuasion,S: Programming,S: Quality Control Analysis,S: Reading Comprehension,S: Repairing,S: Science,S: Service Orientation,S: Social Perceptiveness,S: Speaking,S: Systems Analysis,S: Systems Evaluation,S: Technology Design,S: Time Management,S: Troubleshooting,S: Writing,Final_Cluster,Avg_Cluster_Labels,Ward_Cluster_Labels,Ward_Cluster
11-3021.00,Computer and Information Systems Managers,2.0,1.75,3.12,2.0,4.0,1.12,0.0,0.5,0.0,0.0,2.88,2.0,3.0,3.75,0.25,0.0,0.0,1.5,4.0,4.0,2.0,3.0,2.62,0.38,3.75,0.0,3.12,4.5,4.38,3.5,2.75,0.0,4.0,0.25,0.25,0.25,2.88,0.0,0.12,3.25,3.5,2.75,0.0,0.0,0.0,2.12,1.12,2.38,3.0,1.38,4.38,4.12,3.63,4.0,3.815,3.815,4.0600000000000005,1.0,1.94,0.5,3.5,3.815,3.375,3.19,2.935,3.685,3.12,4.13,3.125,1.81,3.25,2.88,3.31,2.685,2.875,4.0,1.125,1.565,3.0,3.685,3.88,3.56,3.75,2.25,3.565,2.5,3.875,0,0,0,0
11-3031.00,Financial Managers,0.88,1.62,3.5,0.38,4.62,0.62,0.0,0.0,0.0,0.0,2.12,1.12,3.38,3.5,0.0,0.0,0.0,1.0,4.12,3.5,0.88,3.75,2.62,0.0,4.12,0.12,4.25,4.5,4.62,3.12,2.62,0.25,4.0,0.0,0.0,0.0,2.62,0.25,0.0,4.0,3.88,3.0,0.0,0.25,0.0,2.0,1.38,0.62,2.12,1.62,4.62,4.12,3.75,4.19,3.75,3.685,4.125,0.5,0.815,0.5,3.13,3.75,3.19,3.37,2.25,3.81,3.56,3.935,3.435,0.6200000000000001,1.435,1.63,3.565,1.75,1.69,4.19,0.5,0.75,3.62,3.685,4.0600000000000005,3.125,3.125,1.25,3.685,0.815,3.685,0,0,2,2
11-3031.01,Treasurers and Controllers,0.0,1.12,3.88,0.0,4.62,0.62,0.0,0.25,0.0,0.0,2.62,2.0,3.0,3.62,0.0,0.0,0.0,1.12,4.38,3.88,0.12,4.25,2.75,0.0,4.12,0.0,4.38,4.12,4.88,3.5,3.12,0.0,4.62,0.0,0.0,0.0,2.62,0.0,0.0,3.75,3.75,3.12,0.0,0.0,0.0,2.0,0.88,1.25,2.62,0.38,4.38,4.12,3.935,4.065,4.25,3.5,4.4350000000000005,0.5,0.5,0.5,3.0,4.37,3.19,4.5,2.875,3.435,4.0,4.19,3.12,0.6200000000000001,2.87,1.5,3.375,1.31,1.63,4.1850000000000005,0.5,0.75,2.75,3.37,4.125,3.75,3.935,1.12,3.69,0.5,3.87,0,0,2,2
11-3031.03,Investment Fund Managers,0.0,1.5,3.75,0.0,4.38,0.88,0.0,0.0,0.0,0.0,2.88,1.88,3.5,3.62,0.0,0.0,0.0,1.62,4.12,3.88,0.0,4.25,3.0,0.0,3.88,0.0,4.25,4.38,4.25,3.5,3.0,0.0,4.25,0.0,0.0,0.0,3.25,0.0,0.0,3.75,3.75,3.12,0.0,0.0,0.0,2.88,0.0,1.75,2.75,0.0,4.38,4.38,3.815,4.0600000000000005,3.815,3.12,4.0,0.5,0.5,0.5,2.94,4.065,3.0,2.875,2.185,3.13,3.5,3.75,3.25,0.5,1.81,1.69,3.31,1.435,1.125,4.125,0.5,0.5,2.94,3.19,4.0,3.565,3.5,1.63,3.565,0.5,3.75,0,0,2,2
11-3051.00,Industrial Production Managers,2.25,2.88,3.88,2.25,4.25,2.0,0.0,1.0,0.62,1.5,2.88,2.5,3.25,4.0,0.38,1.5,0.5,1.75,4.0,4.0,1.75,3.62,2.88,1.75,3.5,0.38,3.25,4.25,4.12,3.88,3.0,0.38,4.12,2.12,2.25,1.0,3.12,0.62,0.88,3.75,3.62,2.88,1.12,1.62,1.5,2.88,2.38,2.88,3.25,1.88,4.0,4.0,3.81,3.94,3.75,4.0,4.0,1.69,2.06,0.5,3.37,4.19,3.875,3.69,3.625,4.065,3.565,4.44,3.5,2.935,2.88,3.31,3.37,1.185,3.5,3.94,1.87,1.37,3.06,3.69,4.0,3.815,3.565,1.37,4.0,2.25,3.69,0,0,1,1
11-3051.01,Quality Control Systems Managers,2.38,2.38,3.38,2.38,4.25,2.25,0.0,0.38,0.0,0.5,3.12,2.25,4.0,3.75,0.0,0.38,0.12,2.25,4.38,3.75,2.25,3.25,3.0,1.5,3.88,0.0,3.12,4.25,4.12,3.12,3.5,0.0,4.62,0.62,0.88,0.5,3.25,0.12,0.38,3.62,3.75,3.25,0.0,0.5,0.38,2.88,1.5,3.0,3.0,1.25,4.12,4.12,3.87,4.0,3.935,3.815,3.935,1.69,1.69,0.5,3.435,4.0600000000000005,3.25,2.875,2.75,3.375,3.185,4.19,3.06,2.94,2.875,3.375,3.375,1.565,4.0600000000000005,4.0600000000000005,1.435,2.25,3.125,3.5,4.0,3.75,3.875,1.87,3.625,2.75,3.94,0,0,1,1
11-3051.02,Geothermal Production Managers,2.25,2.75,3.5,2.62,4.0,2.0,0.38,0.38,0.25,0.5,3.25,2.75,3.12,3.38,0.88,0.38,1.62,2.38,3.38,3.62,2.12,3.75,2.62,2.12,3.25,0.75,3.5,4.38,4.25,3.25,3.25,1.25,4.12,1.5,2.38,1.62,3.25,1.12,1.75,3.38,3.25,2.75,1.12,0.12,0.62,2.5,2.0,3.0,3.0,0.38,4.12,3.75,3.375,3.62,3.62,3.685,3.94,2.625,2.435,0.5,3.375,3.685,3.315,3.5,3.185,3.75,3.5,4.13,3.19,2.88,2.19,3.375,3.19,1.565,3.0,4.065,2.875,2.44,2.94,3.56,3.94,3.435,3.5,1.94,3.75,3.0,3.685,0,0,1,1
11-3051.03,Biofuels Production Managers,2.62,3.25,3.38,2.25,3.88,1.88,0.0,1.0,0.75,1.5,3.12,1.88,3.25,3.25,1.0,1.0,1.25,2.88,3.88,3.75,2.0,3.38,2.75,1.88,3.62,0.0,3.25,4.5,4.12,3.5,3.62,0.0,3.75,2.38,3.12,0.88,3.62,0.0,0.12,3.88,3.62,3.12,0.25,1.62,1.5,3.0,2.12,3.0,3.0,2.12,4.12,3.75,3.435,3.815,3.565,3.81,3.88,1.125,0.815,0.5,3.435,3.69,3.44,3.06,2.875,3.75,3.125,3.815,3.125,3.25,2.06,3.25,3.25,1.87,2.87,3.94,0.6200000000000001,3.25,3.25,3.565,3.81,3.375,3.19,1.69,3.625,2.125,3.5,0,0,1,1
11-3051.04,Biomass Power Plant Managers,2.75,3.12,3.5,2.88,4.25,2.38,0.12,0.62,0.62,1.62,3.25,2.62,3.25,3.25,1.12,1.38,1.62,2.38,4.0,3.88,2.25,3.12,2.88,2.12,3.25,0.38,3.12,4.12,4.12,3.12,3.38,0.5,4.62,1.88,2.25,1.25,3.12,0.5,1.0,3.75,3.38,3.0,0.12,1.38,1.62,2.62,2.25,2.88,3.12,0.5,4.25,4.0,3.25,3.88,3.75,3.875,4.0,2.565,2.06,0.5,3.375,3.815,3.06,3.37,3.37,3.935,3.125,4.25,2.88,3.0,2.12,3.63,3.125,1.25,3.185,4.065,2.5,2.5,2.75,3.435,4.0,3.435,3.435,1.185,3.685,3.0,3.435,0,0,1,1
11-3051.06,Hydroelectric Production Managers,2.75,3.0,3.62,2.62,3.88,2.5,0.0,1.0,0.0,1.75,3.12,2.5,3.62,3.38,1.75,0.0,1.25,2.88,3.75,4.0,2.5,3.38,3.0,1.75,3.5,1.25,3.38,4.25,4.38,3.25,3.75,1.25,4.12,1.88,2.75,1.88,3.38,1.38,2.0,3.75,3.62,3.25,0.0,0.38,0.0,3.0,2.25,3.5,3.38,2.38,4.38,4.12,3.62,4.0600000000000005,3.685,3.625,3.875,2.685,2.0,0.815,3.63,3.88,3.685,3.19,3.19,3.75,3.375,3.815,3.435,3.25,2.06,3.5,3.44,1.75,3.315,4.0,2.565,3.25,3.38,3.435,4.12,3.38,3.44,1.63,3.75,2.875,3.69,0,0,1,1
11-3061.00,Purchasing Managers,0.0,2.0,3.5,0.0,4.0,1.12,0.0,0.62,0.0,0.0,2.5,0.0,3.0,3.88,0.0,0.0,0.0,2.0,3.88,3.88,0.0,3.62,2.75,0.0,3.75,0.0,3.38,4.0,4.12,3.75,3.0,0.0,3.88,0.0,0.0,0.0,3.12,0.0,0.0,3.75,4.0,2.75,0.0,0.0,0.0,2.62,1.12,1.88,2.0,0.5,4.12,4.0,3.5,4.0,3.375,3.815,3.875,0.5,0.5,0.5,3.63,3.75,3.375,3.435,3.565,4.0,3.12,3.94,3.94,0.5,2.685,1.94,3.87,1.565,1.935,3.94,0.5,0.5,3.69,3.94,4.0,3.69,3.435,1.63,3.94,1.56,3.94,0,0,11,11
11-3071.00,"Transportation, Storage, and Distribution Managers",1.12,2.12,3.38,1.12,3.75,1.5,0.0,0.5,0.0,0.0,3.0,1.25,3.0,3.5,0.88,0.0,0.0,1.88,3.5,3.38,1.0,2.88,2.5,0.75,3.5,1.12,3.0,3.75,4.12,3.25,2.88,1.12,3.75,0.88,0.88,0.88,3.0,0.88,1.38,3.5,3.38,2.88,0.0,0.0,0.0,2.75,1.88,2.25,2.5,1.62,3.88,3.75,3.62,3.88,3.62,3.815,3.62,0.6200000000000001,0.6200000000000001,0.6200000000000001,3.5,3.5,3.315,3.0,3.0,3.38,2.815,3.75,3.62,1.75,2.0,2.56,3.56,1.435,2.375,3.815,0.5,0.5,3.185,3.315,3.685,3.56,3.5,1.435,3.685,1.5,3.62,0,0,11,11
11-3071.04,Supply Chain Managers,0.0,1.75,3.75,0.12,3.88,1.38,0.0,0.0,0.0,0.0,3.0,1.38,3.0,3.25,0.0,0.0,0.0,1.88,3.88,3.75,0.0,3.5,2.25,0.0,3.5,0.0,3.12,4.12,4.12,3.25,2.88,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.25,3.38,2.5,0.0,0.0,0.0,2.88,0.75,2.12,2.88,0.38,4.25,4.0,3.75,4.0,3.94,4.0,3.94,0.5,0.5,0.5,3.185,4.0,3.125,2.94,3.75,3.565,3.0,4.0600000000000005,3.75,0.5,2.44,2.065,3.62,1.25,1.81,4.0,0.5,0.75,3.12,3.815,4.0,3.75,3.88,1.75,4.0,1.25,3.94,0,0,11,11
11-3111.00,Compensation and Benefits Managers,0.25,1.0,3.12,0.0,3.5,0.0,0.0,0.25,0.0,0.0,2.12,0.12,2.38,3.38,0.0,0.0,0.0,0.62,3.5,3.12,0.0,3.38,2.0,0.0,3.38,0.0,3.38,4.12,4.12,3.12,2.12,0.0,3.5,0.0,0.0,0.0,2.0,0.0,0.0,3.88,3.62,2.25,0.0,0.0,0.0,2.0,1.25,0.88,1.62,0.62,4.25,4.12,3.875,4.0600000000000005,3.315,3.31,3.94,0.5,0.5,0.5,3.06,3.94,3.06,3.5,1.815,3.685,3.06,3.5,3.185,0.5,2.815,1.0,3.19,1.315,1.19,4.0600000000000005,0.5,0.5,3.12,3.69,4.0600000000000005,3.5,3.565,1.06,3.685,0.5,4.0600000000000005,0,0,2,2
11-3121.00,Human Resources Managers,0.12,2.0,3.62,0.12,4.25,0.5,0.0,0.38,0.0,0.0,2.88,0.62,3.0,4.12,0.0,0.0,0.0,1.12,4.0,3.38,0.12,3.25,3.0,0.0,4.0,0.0,3.25,4.25,4.5,4.0,2.62,0.0,4.0,0.0,0.0,0.0,2.88,0.0,0.12,4.5,4.62,3.12,0.0,0.0,0.0,2.25,1.25,1.0,2.0,1.12,4.38,4.12,4.0600000000000005,4.25,4.0,4.0600000000000005,4.125,0.5,0.5,0.5,3.94,4.125,3.815,3.56,2.5,4.5,3.0,4.0600000000000005,3.94,0.75,2.315,1.0,3.815,1.69,1.31,4.315,0.5,1.0,3.815,4.0600000000000005,4.1850000000000005,3.435,3.94,1.0,4.0600000000000005,0.5,4.0600000000000005,0,0,11,11
11-3131.00,Training and Development Managers,0.5,1.75,3.75,0.25,3.88,0.62,0.0,0.38,0.0,0.0,3.5,1.12,2.88,4.0,0.0,0.0,0.0,1.25,3.88,3.88,0.62,2.75,3.0,0.0,3.75,0.0,2.62,4.25,4.75,3.88,2.88,0.0,4.0,0.0,0.0,0.0,2.88,0.0,0.0,4.88,3.88,2.88,0.0,0.12,0.0,2.38,1.25,2.0,2.62,0.5,4.0,4.75,4.0,4.0,3.81,3.815,3.875,0.5,0.5,0.5,4.375,3.75,4.75,3.62,2.94,3.75,2.88,3.94,3.0,0.5,3.125,1.315,3.685,1.125,1.94,4.0,0.5,0.94,3.685,3.815,4.25,3.435,3.565,1.25,3.69,0.5,4.0,0,0,11,11
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.0,2.62,3.88,3.38,4.12,2.38,0.25,2.0,1.88,2.5,3.5,2.5,3.5,3.62,1.62,1.88,1.88,2.75,4.12,3.88,2.5,3.5,2.88,3.0,3.62,1.25,3.0,4.12,4.12,3.62,3.12,1.88,4.12,2.25,2.75,2.5,3.0,1.75,2.38,3.62,3.75,2.88,0.5,2.0,2.5,2.75,2.75,3.0,3.62,2.0,4.0,3.88,3.5,3.94,3.56,3.625,3.94,2.31,2.38,0.5,3.0,3.625,3.065,3.19,3.0,3.56,2.94,3.565,3.37,2.81,2.0,3.185,3.435,1.565,2.94,4.0,2.44,2.56,3.0,3.5,3.87,3.125,3.125,1.5,3.565,2.5,3.435,2,2,1,1
11-9021.00,Construction Managers,1.38,3.0,3.88,1.88,4.38,2.62,0.0,1.25,0.75,1.62,3.75,1.5,3.62,3.62,1.38,1.5,1.5,2.12,4.12,4.25,1.25,3.75,2.75,1.75,3.88,0.75,3.62,4.25,4.5,3.25,3.0,0.62,4.25,0.75,1.5,0.62,3.12,0.5,2.0,3.75,3.88,3.12,0.12,1.38,1.62,3.12,2.25,3.12,4.38,0.88,4.12,4.12,3.94,4.0600000000000005,4.0600000000000005,4.25,4.19,1.31,1.25,0.5,3.185,4.25,3.185,3.87,3.565,4.12,3.69,4.19,3.88,1.81,3.19,2.815,3.5,1.06,3.185,4.065,1.5,2.06,3.0,3.69,4.0,3.75,3.69,1.375,4.0600000000000005,2.315,3.815,0,0,1,1
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",1.88,2.0,3.12,0.5,4.12,0.88,0.0,1.12,0.62,1.12,3.0,1.75,2.88,3.62,0.0,0.75,0.75,1.88,3.88,3.62,1.0,2.88,3.0,0.75,3.5,0.0,2.88,4.12,4.38,3.5,2.5,0.0,4.0,0.0,0.0,0.0,3.12,0.0,0.0,3.88,3.5,2.75,0.0,0.88,1.12,2.75,2.25,2.12,2.5,0.88,4.12,4.25,3.69,4.0,3.69,4.0,4.0,0.5,0.5,0.5,3.88,3.88,3.75,3.185,3.12,3.875,2.88,4.0600000000000005,3.62,1.06,1.44,1.625,3.44,1.06,1.875,4.0600000000000005,0.5,1.125,3.94,3.88,4.0,3.12,3.25,1.185,3.815,1.38,3.875,0,0,11,11
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.12,2.12,4.0,0.0,4.88,0.75,0.0,0.12,0.5,0.38,3.75,0.5,3.12,4.0,0.0,0.75,0.38,1.5,4.12,4.0,0.0,3.5,3.0,0.12,3.88,0.0,3.25,4.88,5.0,4.0,2.62,0.12,4.5,0.0,0.0,0.38,3.0,0.12,0.0,4.5,4.38,3.0,0.0,1.0,0.25,2.75,2.0,1.88,2.38,0.75,4.75,4.88,4.0600000000000005,4.6850000000000005,4.3100000000000005,4.25,4.5600000000000005,0.5,0.6200000000000001,0.5,4.0600000000000005,4.6850000000000005,4.8100000000000005,3.81,3.565,4.4350000000000005,3.19,4.565,4.0,0.8799999999999999,2.815,1.625,3.935,1.185,3.06,4.625,0.5,1.565,4.065,4.5,4.815,3.875,4.3100000000000005,1.375,4.065,1.12,4.69,0,0,11,11
11-9033.00,"Education Administrators, Postsecondary",0.12,1.38,3.75,0.0,4.0,0.12,0.0,0.25,0.0,0.0,2.62,1.12,3.12,3.88,0.0,0.0,0.0,1.88,4.12,3.88,0.0,3.25,2.75,0.0,3.5,0.0,3.0,4.88,4.88,4.0,2.62,0.0,3.88,0.0,0.0,0.0,3.0,0.0,0.0,4.12,4.0,2.75,0.0,0.0,0.0,2.62,0.75,1.75,2.25,0.0,4.5,4.75,3.94,4.125,3.94,3.81,4.1850000000000005,0.5,0.5,0.5,4.0,3.94,3.875,3.12,3.19,3.875,3.0,4.125,3.685,0.5,1.25,1.69,3.685,0.94,0.94,4.37,0.5,1.0,3.69,3.875,4.125,3.5,3.5,1.185,4.0,0.5,4.125,0,0,11,11
